rider_id,rider_name,sign_up
81,Tamanna Arora,2025-05-06
82,Vrishti More,2024-03-21
83,Eshana Dugar,2024-04-29
84,Gabriel Sachdeva,2026-06-10
85,Viraj Walia,2026-02-15
86,Charvi Nair,2023-12-08
87,Charvi Ratta,2024-08-11
88,Kashish Mahajan,2023-09-26
89,Frado Pall,2025-01-24
90,Wishi Palla,2025-07-16
91,Advay Dutt,2024-04-11
92,Bakhshi Lalla,2025-02-20
93,Dhriti Ramakrishnan,2026-04-26
94,Advay Grewal,2023-10-23
95,Aahana Gupta,2024-06-04
96,Pranav Panchal,2024-10-19
97,Bhavani Sankaran,2025-01-29
98,Alexander Roy,2026-04-18
99,Jack Sidhu,2024-08-21
100,Rehaan Nadig,2025-08-14
101,Lopa Bail,2023-12-17
102,Chaaya Vig,2024-09-01
103,Pavani Mane,2023-07-21
104,Hardik Om,2026-02-17
105,Sudiksha Dalal,2025-07-09
106,Jai Varkey,2026-04-04
107,Manan Brar,2023-08-24
108,Chakradev Gopal,2023-11-18
109,Advaith Radhakrishnan,2024-07-13
110,Rudra Uppal,2025-05-16
111,Qushi Badal,2023-08-11
112,Tamanna Prabhu,2024-11-25
113,Janaki Pradhan,2023-11-22
114,Warda Barad,2023-08-24
115,Anamika Peri,2024-09-30
116,Bhavna Bakshi,2025-10-04
117,Jasmit Gara,2024-06-10
118,Amara Balay,2024-02-17
119,Rachana Master,2025-04-09
120,Balvan Raman,2023-11-20
121,Sachi Karnik,2026-03-30
122,Gabriel Dutt,2024-02-15
123,Anay Lalla,2023-08-22
124,Jatin Padmanabhan,2025-12-24
125,Vivaan Dhawan,2023-12-11
126,Ekaraj Dutt,2023-11-04
127,Deepa Chada,2025-12-07
128,Harshil Viswanathan,2025-12-26
129,Bachittar Ramanathan,2023-10-25
130,Yuvraj Bansal,2025-05-27
131,Dalbir Mani,2024-09-11
132,Raghav Khalsa,2025-11-04
133,Daniel Kumar,2025-09-21
134,Theodore Sodhi,2026-03-25
135,Maanav Chada,2025-12-24
136,Yamini Apte,2026-03-24
137,Aarush Saini,2025-09-16
138,Pooja Sant,2024-09-30
139,Janani Varty,2024-09-23
140,Dakshesh Rattan,2024-11-09
141,Pahal Sachdev,2024-10-22
142,Ojasvi Dutt,2025-12-04
143,Ishaan Johal,2025-11-22
144,Luke Vyas,2025-01-17
145,Warda Barman,2025-05-15
146,Vansha Rama,2025-12-03
147,Yashoda Kalla,2023-09-28
148,Qasim Pingle,2026-01-14
149,Hemal Gopal,2024-12-10
150,Arin Buch,2024-01-04
151,Ladli Purohit,2026-03-19
152,Robert Karan,2023-10-31
153,Meghana Saini,2026-03-02
154,Triveni Solanki,2026-01-13
155,Triveni Toor,2023-12-26
156,Dhriti Bir,2024-12-04
157,Oeshi Mitter,2023-08-22
158,Divya Sibal,2025-04-22
159,Simon Rege,2024-06-30
160,Shravya Raja,2023-09-08
161,Nathaniel Sachar,2026-03-02
162,Anmol Chacko,2024-11-24
163,Gaurika Oza,2026-05-18
164,Oscar Khare,2026-02-21
165,Owen Borra,2025-10-09
166,Viraj Sandal,2026-02-12
167,Aarnav Basak,2023-08-09
168,Matthew Solanki,2025-03-07
169,Januja Hari,2023-08-01
170,Agastya Narasimhan,2023-11-29
171,Ekalinga Warrior,2026-06-05
172,Agastya Dada,2026-06-11
173,Avi Wason,2024-04-18
174,Anay Sundaram,2024-12-14
175,Jeevika Naidu,2024-02-08
176,Fariq Walla,2024-03-30
177,Charvi Swaminathan,2024-01-12
178,Mitali Mallick,2024-01-11
179,Ayush Tak,2023-07-10
180,Fiyaz Narang,2024-06-21
181,Yahvi Ratti,2024-05-20
182,Chaaya Sundaram,2025-09-27
183,Abhimanyu Biswas,2025-11-13
184,Kashish Andra,2025-08-16
185,Lucky Anne,2024-02-12
186,Ikbal Buch,2026-06-11
187,Charvi Bhatnagar,2023-10-11
188,Ekantika Barad,2025-02-26
189,Yagnesh Shetty,2023-10-01
190,Manthan Khosla,2026-06-30
191,Urvashi Deshpande,2025-03-13
192,Janya Anand,2023-10-28
193,Triveni Naik,2026-07-01
194,Hiral Venkataraman,2026-02-03
195,Hredhaan Chaudhari,2024-02-23
196,Zansi Shetty,2026-03-03
197,Bishakha Chaudry,2024-04-27
198,Meghana Kalla,2024-10-02
199,Fariq Pandya,2024-02-10
200,Charita Sheth,2025-06-05
201,Azaan Krishna,2025-07-27
202,Caleb Nadkarni,2026-03-03
203,Dakshesh Vaidya,2024-04-03
204,Orinder Sani,2024-02-22
205,Imaran Bajwa,2024-08-14
206,Avni Ramesh,2023-07-12
207,Niharika Ganesh,2026-02-27
208,Orinder Bala,2024-06-14
209,Bhanumati Sidhu,2023-08-22
210,Jai Chada,2023-11-02
211,Meghana Iyengar,2024-07-29
212,Yachana Thaman,2025-07-20
213,Inaya Toor,2026-03-19
214,Unnati Talwar,2024-01-28
215,Tara Chadha,2026-02-14
216,Dakshesh Agarwal,2026-04-07
217,Zaitra Kadakia,2023-08-16
218,Urmi Mody,2025-09-09
219,Vivaan Master,2026-03-18
220,Jeet Choudhury,2025-04-27
221,Netra Dhingra,2025-02-01
222,Balendra Goyal,2024-12-26
223,Falak Dani,2024-06-02
224,Yash Bhalla,2025-08-03
225,Jatin Arora,2026-03-20
226,Dominic Gupta,2024-02-09
227,Ojas Sengupta,2025-04-17
228,Udarsh Magar,2025-05-21
229,Samaksh Chad,2025-09-28
230,Tara Mitra,2026-01-18
231,Yamini Narayan,2023-08-02
232,Jonathan Mohan,2024-07-29
233,Peter Doctor,2024-09-11
234,Reva Nagi,2023-08-19
235,Aarush Sule,2024-06-19
236,Adweta Narang,2025-08-28
237,Abha Sabharwal,2026-04-26
238,Tejas Halder,2026-01-27
239,Vidhi Vasa,2026-03-21
240,Ronith Choudhury,2024-11-19
241,Neha Merchant,2023-09-08
242,Anusha Boase,2026-04-18
243,Adweta Master,2024-10-13
244,Harsh Dyal,2025-11-10
245,Isha Mall,2024-01-22
246,Bhavini Sarin,2024-11-25
247,Vincent Gill,2025-09-30
248,Januja Dubey,2026-05-18
249,Madhav Chanda,2024-07-06
250,Kalpit Sarma,2024-05-02
251,Harinakshi Vasa,2024-09-02
252,Ridhi Lad,2026-06-15
253,Megha Bava,2024-10-07
254,Gagan Halder,2025-12-28
255,Bhavika Banik,2023-07-06
256,Dhriti Varma,2024-02-11
257,Varenya Chaudhry,2024-07-24
258,Wahab Bala,2024-05-10
259,Ayush Sami,2024-06-17
260,Amruta Sidhu,2025-08-01
261,Neel Gara,2024-12-07
262,Raagini Dubey,2025-05-28
263,Viraj Lalla,2024-03-26
264,Rachita Nagarajan,2024-11-05
265,Chandani Nanda,2025-03-11
266,Warjas Walla,2024-06-26
267,Dhriti Bora,2024-01-22
268,Ekani Kalla,2025-01-29
269,Yauvani Issac,2025-02-09
270,Sanya Misra,2023-07-16
271,Laksh Bir,2026-04-24
272,Rajata Parsa,2026-01-14
273,Nandini Merchant,2025-10-13
274,Mohini Mistry,2025-12-03
275,Aarush Parekh,2023-11-14
276,Samaksh Vala,2025-06-16
277,Ridhi Devan,2024-06-17
278,Ishani Cherian,2025-03-13
279,Balveer Sankaran,2026-04-23
280,Ekiya Sule,2023-11-14
281,Ishani Mohanty,2026-03-03
282,Nakul Wagle,2024-04-03
283,Nitesh Balan,2024-09-04
284,Shivansh Pall,2024-08-16
285,Meera Wali,2024-05-18
286,Pooja Panchal,2024-03-02
287,Dakshesh Rajagopal,2026-03-17
288,Vasudha Mukhopadhyay,2024-10-08
289,Advay Dora,2024-01-30
290,Vasatika Khare,2023-08-23
291,Jagat Dua,2023-11-05
292,Manbir Aurora,2024-12-25
293,Aashi Wadhwa,2026-06-29
294,Ansh Khanna,2026-04-07
295,Yatan Thakur,2024-05-30
296,Mohini Sahota,2026-01-21
297,Dakshesh Subramanian,2026-02-14
298,Falan Thakur,2024-08-19
299,Baghyawati Raval,2025-01-27
300,Xavier Edwin,2025-08-19
